,victim_name,victim_race,victim_gender,lynch_date,year,lynch_location,source,latitude,longitude,search_url
31,re boyd,white,male,1866-07-01,1866,"pontotoc county, mississippi",tolnay-beck,34.2114655,-89.0382651,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1866&date2=1867&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=re+boyd&andtext=&dateFilterType=yearRange&page=1&sort=date
32,william taylor,white,male,1866-04-19,1866,"perryville, boyle county, kentucky",tolnay-beck,37.650351,-84.9516234,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1866&date2=1867&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=william+taylor&andtext=&dateFilterType=yearRange&page=1&sort=date
33,andrew wilson,white,male,1866-01-25,1866,"goldsborough, wayne county, north carolina",tolnay-beck,35.3391588,-78.0283372,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1866&date2=1867&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=andrew+wilson&andtext=&dateFilterType=yearRange&page=1&sort=date
34,james garner,white,male,1866-05-15,1866,"corpus christi, nueces county, texas",tolnay-beck,27.7635302,-97.4033191,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1866&date2=1867&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=james+garner&andtext=&dateFilterType=yearRange&page=1&sort=date
35,benjamin franklin hill,white,male,1866-05-24,1866,"victoria, victoria county, texas",tolnay-beck,28.7997547,-97.0064246,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1866&date2=1867&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=benjamin+franklin+hill&andtext=&dateFilterType=yearRange&page=1&sort=date
36,jo smitherman,black,male,1866-06-01,1866,"randolph, trinity county, texas",tolnay-beck,,,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1866&date2=1867&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=jo+smitherman&andtext=&dateFilterType=yearRange&page=1&sort=date
37,jasper lindley,white,male,1866-06-12,1866,"little river, bell county, texas",tolnay-beck,30.975729865653037,-97.39631145319042,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1866&date2=1867&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=jasper+lindley&andtext=&dateFilterType=yearRange&page=1&sort=date
38,samuel cornelius miller,white,male,1866-06-12,1866,"little river, bell county, texas",tolnay-beck,30.975729865653037,-97.39631145319042,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1866&date2=1867&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=samuel+cornelius+miller&andtext=&dateFilterType=yearRange&page=1&sort=date
39,rh eaton,white,male,1866-06-20,1866,"jeffersonston, camden county, georgia",tolnay-beck,,,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1866&date2=1867&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=rh+eaton&andtext=&dateFilterType=yearRange&page=1&sort=date
40,jesse dickson,white,male,1866-05-20,1866,"quincy, gadsden county, florida",tolnay-beck,30.5889265,-84.5762388,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1866&date2=1867&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=jesse+dickson&andtext=&dateFilterType=yearRange&page=1&sort=date
41,nathan lawson,white,male,1867-07-27,1867,"cornishville, mercer county, kentucky",tolnay-beck,37.8003499,-84.9935693,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1867&date2=1868&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=nathan+lawson&andtext=&dateFilterType=yearRange&page=1&sort=date
42,tucker moran,black,male,1867-07-25,1867,"washington county, kentucky",tolnay-beck,37.7310874,-85.1750475,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1867&date2=1868&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=tucker+moran&andtext=&dateFilterType=yearRange&page=1&sort=date
43,dick copeland,white,male,1867-08-10,1867,"lamar county, texas",tolnay-beck,33.6383552,-95.582343,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1867&date2=1868&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=dick+copeland&andtext=&dateFilterType=yearRange&page=1&sort=date
44,jeremiah hale,white,male,1867-06-24,1867,"raleigh, shelby county, tennessee",tolnay-beck,35.2059218,-89.9136985,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1867&date2=1868&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=jeremiah+hale&andtext=&dateFilterType=yearRange&page=1&sort=date
45,major bridgewater,white,male,1867-07-19,1867,"stanford, lincoln county, kentucky",tolnay-beck,37.5311646,-84.6618876,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1867&date2=1868&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=major+bridgewater&andtext=&dateFilterType=yearRange&page=1&sort=date
46,jh murray,white,male,1867-08-11,1867,"tyler, smith county, texas",tolnay-beck,32.3512601,-95.3010624,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1867&date2=1868&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=jh+murray&andtext=&dateFilterType=yearRange&page=1&sort=date
47,joseph sutherland,white,male,1867-08-25,1867,"harrodsburg, mercer county, kentucky",tolnay-beck,37.762298,-84.8432852,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1867&date2=1868&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=joseph+sutherland&andtext=&dateFilterType=yearRange&page=1&sort=date
48,miles mn hunnicut,white,male,1867-10-12,1867,"hunnicutt̢ pickens county, south carolina",tolnay-beck,,,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1867&date2=1868&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=miles+mn+hunnicut&andtext=&dateFilterType=yearRange&page=1&sort=date
49,frank jones,white,male,1867-11-17,1867,"wythe station, shelby county, tennessee",tolnay-beck,,,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1867&date2=1868&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=frank+jones&andtext=&dateFilterType=yearRange&page=1&sort=date
50,j pratt,white,male,1867-12-01,1867,"shelby county, tennessee",tolnay-beck,35.1782557,-89.8739775,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1867&date2=1868&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=j+pratt&andtext=&dateFilterType=yearRange&page=1&sort=date
51,lewis cogdell,black,male,1867-12-01,1867,"greene county, north carolina",tolnay-beck,35.481724,-77.6728536,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1867&date2=1868&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=lewis+cogdell&andtext=&dateFilterType=yearRange&page=1&sort=date
52,jt miller,white,male,1867-06-06,1867,"kinston, lenoir county, north carolina",tolnay-beck,35.2626635,-77.5816353,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1867&date2=1868&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=jt+miller&andtext=&dateFilterType=yearRange&page=1&sort=date
53,leake hicks,white,male,1867-08-26,1867,"danville, boyle county, kentucky",tolnay-beck,37.6456488,-84.7721823,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1867&date2=1868&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=leake+hicks&andtext=&dateFilterType=yearRange&page=1&sort=date
54,ej miller,white,female,1867-06-06,1867,"kinston, lenoir county, north carolina",tolnay-beck,35.2626635,-77.5816353,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1867&date2=1868&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=ej+miller&andtext=&dateFilterType=yearRange&page=1&sort=date
55,george libby,white,male,1867-04-15,1867,"castroville, medina county, texas",tolnay-beck,29.3565001,-98.8788844,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1867&date2=1868&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=george+libby&andtext=&dateFilterType=yearRange&page=1&sort=date
56,sam m matlock,white,male,1867-06-01,1867,"hill county, texas",tolnay-beck,31.9595085,-97.0881654,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1867&date2=1868&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=sam+m+matlock&andtext=&dateFilterType=yearRange&page=1&sort=date
57,john devine,white,male,1867-06-03,1867,"mercer county, kentucky",tolnay-beck,37.8087581,-84.8760836,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1867&date2=1868&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=john+devine&andtext=&dateFilterType=yearRange&page=1&sort=date
58,jerry trowbridge,white,male,1867-02-05,1867,"danville, boyle county, kentucky",tolnay-beck,37.6456488,-84.7721823,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1867&date2=1868&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=jerry+trowbridge&andtext=&dateFilterType=yearRange&page=1&sort=date
59,wm goode,white,male,1867-02-08,1867,"stanford, lincoln county, kentucky",tolnay-beck,37.5311646,-84.6618876,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1867&date2=1868&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=wm+goode&andtext=&dateFilterType=yearRange&page=1&sort=date
60,archie beebe,black,male,1867-02-11,1867,"fayetteville, cumberland county, north carolina",tolnay-beck,35.0525759,-78.878292,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1867&date2=1868&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=archie+beebe&andtext=&dateFilterType=yearRange&page=1&sort=date
61,thomas carrier,white,male,1867-02-17,1867,"parksville or nearby, boyle county, kentucky",tolnay-beck,,,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1867&date2=1868&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=thomas+carrier&andtext=&dateFilterType=yearRange&page=1&sort=date
62,david warren,black,male,,1867,"marion county, kentucky",tolnay-beck,37.5413747,-85.2650391,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1867&date2=1868&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=david+warren&andtext=&dateFilterType=yearRange&page=1&sort=date
63,adam smith,black,male,1867-04-27,1867,"nicholasville, jessamine county, kentucky",tolnay-beck,37.8806341,-84.5729961,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1867&date2=1868&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=adam+smith&andtext=&dateFilterType=yearRange&page=1&sort=date
64,evan fitzgerald,white,male,1867-04-28,1867,"summerville, noxubee county, mississippi",tolnay-beck,,,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1867&date2=1868&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=evan+fitzgerald&andtext=&dateFilterType=yearRange&page=1&sort=date
65,thomas gaberheart,white,male,1867-05-07,1867,"campbellsville, taylor county, kentucky",tolnay-beck,37.3433974,-85.3419069,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1867&date2=1868&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=thomas+gaberheart&andtext=&dateFilterType=yearRange&page=1&sort=date
66,mh alexander,white,male,1867-06-01,1867,"hill county, texas",tolnay-beck,31.9595085,-97.0881654,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1867&date2=1868&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=mh+alexander&andtext=&dateFilterType=yearRange&page=1&sort=date
67,lewis grant,black,male,1868-10-04,1868,"jefferson, marion county, texas",tolnay-beck,32.7573626,-94.3451926,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1868&date2=1869&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=lewis+grant&andtext=&dateFilterType=yearRange&page=1&sort=date
68,jake bell,black,male,1868-09-22,1868,"tuscumbia, colbert county, alabama",tolnay-beck,34.7312005,-87.70253,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1868&date2=1869&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=jake+bell&andtext=&dateFilterType=yearRange&page=1&sort=date
69,pert simpson,black,male,1868-09-22,1868,"tuscumbia, colbert county, alabama",tolnay-beck,34.7312005,-87.70253,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1868&date2=1869&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=pert+simpson&andtext=&dateFilterType=yearRange&page=1&sort=date
70,lee morrison,black,male,1868-09-26,1868,"helena, phillips county, arkansas",tolnay-beck,34.5295471,-90.5917722,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1868&date2=1869&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=lee+morrison&andtext=&dateFilterType=yearRange&page=1&sort=date
71,marion croslow,white,male,1868-09-26,1868,"cornishville, mercer county, kentucky",tolnay-beck,37.8003499,-84.9935693,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1868&date2=1869&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=marion+croslow&andtext=&dateFilterType=yearRange&page=1&sort=date
72,benjamin brown,black,male,1868-10-02,1868,"sumterville, sumter county, alabama",tolnay-beck,32.7118,-88.2389168,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1868&date2=1869&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=benjamin+brown&andtext=&dateFilterType=yearRange&page=1&sort=date
73,jas brownlee,white,male,1868-09-30,1868,"bossier parish, louisiana",tolnay-beck,32.6676663,-93.5959786,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1868&date2=1869&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=jas+brownlee&andtext=&dateFilterType=yearRange&page=1&sort=date
74,richard stewart,black,male,1868-10-04,1868,"jefferson, marion county, texas",tolnay-beck,32.7573626,-94.3451926,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1868&date2=1869&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=richard+stewart&andtext=&dateFilterType=yearRange&page=1&sort=date
75,william t walker,black,male,1868-10-03,1868,"blakely, early county, georgia",tolnay-beck,31.3773475,-84.9343388,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1868&date2=1869&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=william+t+walker&andtext=&dateFilterType=yearRange&page=1&sort=date
76,george webster smith,white,male,1868-10-04,1868,"jefferson, marion county, texas",tolnay-beck,32.7573626,-94.3451926,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1868&date2=1869&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=george+webster+smith&andtext=&dateFilterType=yearRange&page=1&sort=date
77,ben cooper,black,male,1868-09-22,1868,"tuscumbia, colbert county, alabama",tolnay-beck,34.7312005,-87.70253,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1868&date2=1869&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=ben+cooper&andtext=&dateFilterType=yearRange&page=1&sort=date
78,francis ogden,white,male,1868-09-30,1868,"bossier parish, louisiana",tolnay-beck,32.6676663,-93.5959786,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1868&date2=1869&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=francis+ogden&andtext=&dateFilterType=yearRange&page=1&sort=date
79,william estes,white,male,1868-09-21,1868,"mormon grove, grayson county, texas",tolnay-beck,33.5607625,-96.6959539,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1868&date2=1869&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=william+estes&andtext=&dateFilterType=yearRange&page=1&sort=date
80,william lancaster,white,male,1868-09-13,1868,"washington, washington county, texas",tolnay-beck,30.3251693,-96.157812,https://chroniclingamerica.loc.gov/search/pages/results/list/?date1=1868&date2=1869&searchType=advanced&language=&proxdistance=5&rows=1000&ortext=&proxtext=&phrasetext=william+lancaster&andtext=&dateFilterType=yearRange&page=1&sort=date
