clippings,url,victim,case_match
"north orthe east , but work so that before wemeet again in the land of the palmand pine , we may be able to say thatin every southern state there is a lawprohibiting child labor. ” the address was greeted with applause and a motion was promptlymade by mrs. isabella charles davis , seconded and unanimously passed , thatthe chair appoint a delegate from eachstate represented in the conference toinquire carefully into the laws of herstate relative to child labor and beprepared to report on them at the nextannual conference . later it was alsodecided that to the state secretariesof thooe states not represented in theconference , the scretary should send arequest asking that she appoint a similar delegate for the same purpose.dueoaaed by delegate * .in the discussion before the motionwas carried mrs. e trask hill ofboston told of the child labor law thatis now in force in massachusetts andsaid that",https://chroniclingamerica.loc.gov/lccn/sn89053684/1902-01-30/ed-1/seq-7/ocr/,charles davis,no
"negro about 20years of age . the shooting occurred inthe pool room on the corner of avenuek and nineteenth street and was theresult of a quarrel about a trivial matter.hutson shot smith three times with a88-calibre pistol . after the shooting hutson attempted to escape but wrs latercaptured by officer henry white andlodged in the city jail . he will be givena hearing before mayor sugg tomorrow.pythians to meet.steel city lodge , knights of pythias , ; will meet tuesday night at their hallon nineteenth street . a full attendanceof the membership is urged as many iimportant matters will come before the jlodge . delegates to the pythian districtconvention that will convene at cordovaon thursday next will be selected . anumber of members of the order fromensley and vicinity will attend.church notices.the choir of st. john 's episcopalchurch will meet for rehearsal wednesday evening at the home of mr. w. h.wallace on",https://chroniclingamerica.loc.gov/lccn/sn85038485/1909-02-23/ed-1/seq-8/ocr/,henry white,no
"the otherend of the rope and slowly , gently , firmly and safely pulled her from thethird story window down to theground . el paso herald . `` linden texas , feb. 22. the jury inthe mcdemmons rape case returned averdict of guilty and assessed his punishment at death . lee green was burned ut the slate by an infuriated populace as a principal , and mcdemmons'will pay the penalty with his life as anaccomplice.news received from deming lateyesterday evening is to the effect thatc . m. chase started by morning trainfor his eastern homo to bo gone tendays . when he returns he will brinemoney enough to settle up everything , and both the deming and silver cityfirst national banks will open up under entirely new management . mr. c.m . cha.se will be president of both in-'stilullons kntei prie .washington , feb. 23 during thepast three months of 1801 ,",https://chroniclingamerica.loc.gov/lccn/sn87090373/1892-02-26/ed-1/seq-2/ocr/,lee green,yes
"the sea.the marvelous adventure of a whaling crewup where the icebergs stand.ban francisco chronicle.the whaling bark alaska , which arrived inthis port a few days ago from the arctic ocean , brings a strange story of the narrow escape fromdeath of six of her crew . the first officer , george johnson , stated the circumstances to achronicle reporter yesterday , as follows : % onthe 16th of last october , when the vessel ' wasforty-six miles south of alaska , an . object wasperceived in the distance whose proportions arfflshaoe indicated it to be a monster sea lion . aboat was immediately lowered and placed incharge of first officer johnson and five of thecrew , named andrew nelson , william wilson , antone niaga , george marshfield and hansstuten . as the distance was being decreasedbetween the boat and the huge animal they became convinced that it was the famed seaserpent",https://chroniclingamerica.loc.gov/lccn/sn82015679/1885-01-05/ed-1/seq-7/ocr/,george johnson,no
"dollars will not cover the los ? .the insurance is small.miss lillian jewett takes the bakers.charleston , aug. 1-lillian clayton jewett the boston girl who recentlycreated a sensation among the negroesof that city by declaring that she wouldcome to charleston and take backnorth with her the family of the late frazier b baker , who was lynched atlake city , s. - c. , in 1897 , with a viewto beginning an agitation against moblaw , has carried out her design . .missjewett arrived here friday morningaccompanied by her mother and ayoung man named r. g. larsen , whois a boston journalist . she had frequent conferences with the baker woman and her friends and as a result sheleft herc for boston this afternoon accompanied by the entire baker family , the mother and five children.miss jewett said her plans for thefuture were not yet formulated , butshe proposed to hold mass meetingsthroughout",https://chroniclingamerica.loc.gov/lccn/sn84026965/1899-08-09/ed-1/seq-4/ocr/,frazier b baker,yes
"1007 lindenstreet interment was mads at bivervlsw cemetery.corbett in a fight.the actor-1'nirlii « l thrown down 8t » t « by u imiuntil * ! phlo fireman * philadelphia , jod . 27.—champion.tamos j. corbett , while playing at thenational theater , became involved in ofight with a fireman named william murphy . blows were struck on both sides , -and tho actor pugilist was unceremoniously tumbled down a flight of stairs . thifight started after corbett hod ejected thsfireman from his dressing room , which hsbud entered to order the champion to stopsmoking.murphy was detailed at the national , and while passing corbett 's room smelledcigarette smoke . he rapped at the door , and as corbett opened it saw 1dm put thecigarette behind him . murphy told him itwas against tho rules to smoke , and conbett denied that ho was doing so . murphyinsisted , and corbett then forced",https://chroniclingamerica.loc.gov/lccn/sn85042354/1896-01-27/ed-1/seq-4/ocr/,william murphy,no
"go to texaswhen able to travel.alexander h. wyant , the famous landscape painter , is dead.a storm of unusual violence preventedcleveland from gunning yesterday.president carnot , of france , is trying toﬁx up a new cabinet.at hiawatha , kansas , at midnight acolored mob stormed the jail . took out commodore true a negro tough ; hangedhim toatree and riddled his dy wrthbullets { or killing will walthall , one ofthe deacons of the methodist . church , without provocation . at a thanksgiving suppergiven by the church.the sugar crop.naw oanasus , la. , november 30.—internal revenue inspector hahn , in charge ofthe government sugar weigbers under thebounty law , gives a most unsatisfactoryreport 01 ’ his 0 servations in the parishesof st. charles , st. john . st. james , ascension , east and west baton rouge and livinﬁston . he estimates that there will be afa ing oﬂ of twenty-live",https://chroniclingamerica.loc.gov/lccn/sn88085350/1892-11-30/ed-1/seq-1/ocr/,commodore true,no
"and assistants would attend to that duty if required.it is said that the innovation isput in force to facilitate and better |the postal service during the holidayrush . of course the ‘ postal author & - ; ties are not told that they must ‘ lick ’ the stamps and walter jones says hewould rather take a licking himselfthan lick all the stamps he sells in aday now , let alone when the holidayrush begins . all they have to do ismoisten the stamps and this will bedone by means of the usual glassbowl of water and big sponge . | |thedailysentinelthe biggestand mostenterprisingdaily m a cityof this sizein the westwe render the servicewe reach the peoplewe give the newsconstantly adding new featuresand new departments.do pou belong to our great familp of readers ? shrasagaseanepage three xml|txt",https://chroniclingamerica.loc.gov/lccn/sn86066870/1913-11-14/ed-1/seq-3/ocr/,walter jones,no
"massachusetts.1883 georgo h. hepworth , clergymanand author , born . was connectedwith the new york herald.is4 thomas hall , inventor , born , the hall typewriter.18483 thomasg j. l ) uce ; ' . catholic clerman , born . a ounder of thegoplo ’ l municipal league , new york.1852 john henry wright , philologist , born . professor of greek at harvardnniversity.182 sou hern confederaoy formed atmontgomery , ala.xs : n ta peace congress met in washnglon . .18 ! \ } ,4 engagement at moorefleld , w , a.1887 interstate commerde cbhbmmissionestablished.1809 insurrection in the philippineislands started.greene discussesroosevelt messagewashington , ¥eb , 3.—~congressman w , 8greaiic of fall river has this to say oftho president 's latest communication tecongeress . ‘ the president ’ 's message dellvered incongiess s distinctly ‘ “ ‘ rooseveltian ” inevery line and feature . nothing lke ithas ever adorned the pages of the cougressional",https://chroniclingamerica.loc.gov/lccn/sn91070633/1908-02-04/ed-1/seq-4/ocr/,john henry,no
"m , rankin . j 11 , rosenthal * g , saner . jonathan , stringer , wm , taue . k r. •turner , b b , vandemark , a b , white , w g , wherrett , win , reagh , john l > , walker , henry ward , chas , sargeut , fred , lamuiou , ( » eo , shroeder , a hon motion , board adjourned to 9o'clock to-morrow morning , tuesday , feb. 4th , 1890 , 9 a . .m.board met pursuant to adjournment ; all present.after considering , and hearing statements concerning several matters onwhich no action was tak < n , board adjourned to 1:30 o'clock r. m.afternoon session.board reassembled ; all present.the report of l. p. venen , countyschool superintendent , relating to thedivision of school district no . 30 , tenino , was presented and reud , amiafter due",https://chroniclingamerica.loc.gov/lccn/sn84022770/1890-02-07/ed-1/seq-3/ocr/,henry ward,no
"to regulate thofuture relations between the assembly and theseminaries.tho commitleo is composed of rev . dr.samuel muchmoro , of philadelphia , moderator of the asembly ; rev . dr. william young , of danville . ky. ; rev . dr. georgo d. baker , of philadelphia ; rev . dr. john dixon , oftrenton ; rev . dr. t. ralston smith , of newyork ; rev . dr. r. s. holmes , of pittsburg ; hon . thomas m. dougal . of cincinnati ; s. a.bonner , of grecnburg , md . ; col. john j. mccook , of new york ; hon . david wells , ofgettysburg , pa. , and john nesner , of philadelphia . what no white man ever did.an adventurous young scot penetrates tocanada 's .mysterious inland sea.quebec , aug. 11. archibald stuart , ayoung scotchman of an adventurous turn ofmind who was visiting this country for",https://chroniclingamerica.loc.gov/lccn/sn87062244/1894-08-12/ed-1/seq-1/ocr/,john dixon,no
"dr. emerson mads an autopsy of the dead mongolian 's body yesterday and found that it was covered witbvermin . /it was the worst case of the kind everbrought to light in this city , and showedthat the unfortunate man had been grosslyneglected by his keepers at the jail . george e white 's affairscontempt proceedings discharged bythe court.judge seawell bas refused to punish george e white , the mendocino cattleking , for contempt of court in refusing topay alimony to bis wife , frankie.the divorce suit is one of long standingin this city . although white is plaintiffin the suit tor divorce , there bas been considerable trouble found in compelling himto pay the alimony decided upon by thecourt . in consequence of this , on the 4thinst. , judge seawell cited georg e white to snow cause why he should not bepunished for contempt of court in neglecting to pay alimonyEND CLIPPING | START CLIPPINGthat it was covered witbvermin . /it was the worst case of the kind everbrought to light in this city , and showedthat the unfortunate man had been grosslyneglected by his keepers at the jail . george e white 's affairscontempt proceedings discharged bythe court.judge seawell bas refused to punish george e white , the mendocino cattleking , for contempt of court in refusing topay alimony to bis wife , frankie.the divorce suit is one of long standingin this city . although white is plaintiffin the suit tor divorce , there bas been considerable trouble found in compelling himto pay the alimony decided upon by thecourt . in consequence of this , on the 4thinst. , judge seawell cited georg e white to snow cause why he should not bepunished for contempt of court in neglecting to pay alimony . it was found thatfrom december 14 , 1893 , to august 14 ,",https://chroniclingamerica.loc.gov/lccn/sn94052989/1894-09-30/ed-1/seq-20/ocr/,george e white,no
"onewanted nny glory out of tho mntter ? onlysuccess . mr. canfleld was satlsfled that ( contlnued on second page . ) mob went on specialhnd took ldcksmithscarried white prisoner from jailand strung him up totelegraph pole , ( by assoclnta press . ) tallulah , da ? may 2fl.- robert t rogers , a whlto nmn , nwaltlng hls trlnl011 the chnrgo of murderlng jesse brown , a inerchnnt nt gernrd , richland parish , was lynchei . at mldnlght by a mob , whlchcame from the west on a speclnl trainover the vlcksburg , shreveport and pa ? clflc- rallroad , the mob appeared after10 o'olock ond camo fully prepared wlthlooksmlths , who had 110 troublo breakinginto tlio jail . tho jull waa unguardedond the sheriff , who llved some dlstanca.away , wns not aware of what wab golngon uritll 110 saw_tho tnob loadlng the manoff . xtogers was strung up",https://chroniclingamerica.loc.gov/lccn/sn85038615/1906-05-30/ed-1/seq-1/ocr/,robert t rogers,yes
"whitew hill4mike kremor 2w w hiltondawson 2e berry 1 4o mabeejames simerson 6glenn 4fred schucknecht 4geo beebe 1gjohnson 18further bills were ordered drawnfollows : way , fees as clerk of courts $ 115jos graber , county auditor'ssalary for september 100john bruns , boarding children of rolf bruns 3 months 18 henry walls boarding-elizabeth wall , county charge 3months 25mrs washburn , care of mrssorrenson , county charge 39wm elliott , part of quarterlysalary and office rent 63brothersfield township , payingassessor 30barnard & co , records andoffice supplies 9w wood , use of jury room 9days at $ 1 9ward , draying for paupers 2fleeger , states attorney'ssalary and expenses 71paul hanson , nails and hardrware 4.carlotta east , stenographer ofthe circuit court 105chas hackett , official print ? ing , etc 20henry pothoff , witness feesand mileage 5junia sargent & son , merchandise to mrs. sornenson pau- » wper /jsa e lathrop",https://chroniclingamerica.loc.gov/lccn/sn2001063133/1897-10-21/ed-1/seq-1/ocr/,henry walls,no
"application.charles b. doughertywilliam hammondtbomaa vv . meveycharles h grossjohn malerkd w ard melchiorpeter ennerjohn t. kir g •g sj . u qolon , m. d , w . ib iiartlps * jos d. mccormick » c doll r.'fls.case mode andvicharles e. sparksmlfi acl r » ifijacob schelierm gradym . bayes william stuart n. janneyj . g. hiredsamuel c. herda . harri » john fenianhmwp « •rt yl i xml|txt",https://chroniclingamerica.loc.gov/lccn/sn85042354/1893-09-30/ed-1/seq-3/ocr/,william stuart,no
"columbia , 8. c , says thecoroner 's inquest into the death of theeight negroes who were lynched at barnwell was held saturday night at the sceneof the tragedy . it was a terrible sightwhich the jurymen looked upon . on theleft side of the road were the bodies of ripley johnson and mitchell adams , charged with the murder of hefferman . ' onthe opposite side were six bodies of negroescharged with implication in the murder ofyoung robert martin . they were tied toyoung oak trees on the roadside , all exceptmitchell adms , who was tied to a postwhich marked the corporation limits ofbarnwell . johnson was tied to a little treeclose by adams.the others across the road were tied , twoto the same tree with their backs to thesaplings and the rope passed around thetree and around the bodies of the men , insome instances nearly all the wayEND CLIPPING | START CLIPPINGi . - . .rafe moral ! , six bills in the head andbody , either of which would have beenfatal . age about 60 years.judge jones , eight balls : one in his brain.about 28 years old.robt . pncemx , four balls in the body.about 22 years old . ripley johnson , eight balls in the body.one in the face . about 30 years old.mitcneii adams , nine balls , one throughthe brain . about 65 years old.on this testimony the iurv returned averdict that eight men came to their deathtroru gun shot wounds inflicted by someparty or parties unknown . in order toallow the doctor to make examination andprobe the wounds , the bodies were cutdotvn from the trees and laid on theground . the clothes were cut from thebodies to enable him to get to the woundsand the sight was not improved .by theirchanged position.the men lay around inEND CLIPPING | START CLIPPING, others here and there amongthe little oaks on the side of the road , largeparts of their bodies exposed and their cutand torn clothing hanging about them in agrotesque way.after the coroner 's inquests the negroeswere notified that they might remove thebodies if they desired : the families of ripley johnson and mitchell adams removed their bodies to theirhomes , but the other six remained up tomidnight treated as outcasts and murderers . there were none to mourn ; none tocross tneir nands or to close their eyes.neither whites nor negroes wanted to remove the bodies . ; a prominent negro of the town said : '' we never put them there . let those remove them who are responsible for theirbeing there . `` said the mayor of barnwell : `` thebodies are outside the limits of town andthev were prisoners of the county . wedo n't care to place",https://chroniclingamerica.loc.gov/lccn/sn86088296/1890-01-02/ed-1/seq-1/ocr/,ripley johnson,yes
"....... john a. mccutcheon ( dem ) .h . h. james ( dem ) .. peter somsaas ( dem ) .. geo . w lunney ( dem ) .. 99 ? 4s'797943 ' ? ! y : .john a. johnson ( dem ) .•sfes 8fred bentz ( dem ) 1. albert baker ( dem ) ... .lii. * * . * . 1 .. — •v ••- . .r.- chas . west ( dem ) , . : ^jg|l.jl . : forty-seventh district . ( one senator one representative . ) : ^shellenberger and , john o. schultz . ! r .. twenty-fourth district , house member^ : -ja.w . cuhnirigham . j : twenty-sixth district , house member j ) .r . streeter.thirtieth district , house member : johnvan neiland.thirty-third district . house members : r.j. atkinson and henry garvin.j. ( seal . ) , -.baptist church—igorner of 4thstreet and avenue",https://chroniclingamerica.loc.gov/lccn/sn85042242/1908-11-01/ed-1/seq-7/ocr/,albert baker,no
"has been organized inmilwaukee , and a controlling interestin the new enterprise is represented bylocal capital . the officers of the newcompany are e. w. perry , president ; g. f. wirwell , first vice president ; j.r. currie , second vice president ; harryw . perry , secretary ; edward brown , treasurer ; r. h. perry , assistant secretary ; w. d. o ’ neil , assistant treasurer ; charles quarles , attorney . theheadquarters of the new enterprise , whose object is to develop the lands ofhonduras and nicaragua for the raising of tropical products will be locatedin milwaukee and at cape gracias , nic . all the capital stock of the company , of which the wisconsin trustcompany is trustee , has been subscribed , over $ 1,000,000 having beensubscribed by milwaukee capitalistsduring the past four days . •bull fight for elks.proposed feature of the carnivalto be held",https://chroniclingamerica.loc.gov/lccn/sn82002441/1900-11-24/ed-1/seq-3/ocr/,edward brown,no
"1 1 be held in this city on wt duesdaymnriiing , l.hober 'jil , were held at thevarious precincts of the county lastriatunlaylu precinct 13 , old towa , the followingdelegates wtte elected : jeue komero , c . t ) . murphy . t. c. montoya , c. w. lewis thomas werner and m. k.sjirlnner . jeus komsro was chairmanof the meeluig , aud 8. crollott th.eaeorelarr , a . j. crawford el ! `` d the meeting inpreclnol li to order , and harry leentlleiateil as secretary . the followingdelegates were chosen : lonls ilfeld , a.lnmbantt , j. k. armlji ) , unr.y lee , a. j.crawford , k. a , peurson , t. 8. llubbelland c. c. crockett.t . a. kliilcal was chalrtusn of theprimary in precinct lid . while hlgfrledliruiisfeld acted as secretary . the deleunit a elected were as follow : k. a.hulite 'll , t",https://chroniclingamerica.loc.gov/lccn/sn84020613/1898-10-24/ed-1/seq-3/ocr/,lewis thomas,no
